TITLE = " Ionization Mass Fractions"
Variables = " Ar+", "N+", "O+", "e-", "T"
Zone T= "Temperature", I=1000, F=POINT
1.43065e-25 7.33858e-34 6.12066e-11 3.28806e-47 3251.93
1.73958e-25 1.52561e-33 6.33724e-11 6.40673e-46 3265.61
2.11633e-25 3.15221e-33 6.55861e-11 1.19154e-44 3279.2
2.57619e-25 6.47635e-33 6.7849e-11 2.12028e-43 3292.71
3.23236e-25 1.36346e-32 7.01628e-11 3.51263e-42 3306.15
4.08006e-25 2.87192e-32 7.25291e-11 5.56331e-41 3319.53
5.15239e-25 6.02092e-32 7.49498e-11 8.48897e-40 3332.85
6.51006e-25 1.25688e-31 7.74265e-11 1.25037e-38 3346.13
8.23069e-25 2.61369e-31 7.99615e-11 1.7812e-37 3359.36
1.04136e-24 5.41644e-31 8.25567e-11 2.45842e-36 3372.55
1.31863e-24 1.11904e-30 8.52145e-11 3.29313e-35 3385.72
1.67124e-24 2.30578e-30 8.79371e-11 4.2885e-34 3398.86
2.12027e-24 4.74017e-30 9.0727e-11 5.43784e-33 3411.99
2.69291e-24 9.7261e-30 9.35871e-11 6.72438e-32 3425.1
3.42433e-24 1.99255e-29 9.65199e-11 8.1211e-31 3438.21
4.36009e-24 4.07722e-29 9.95287e-11 9.5929e-30 3451.33
5.55936e-24 8.336e-29 1.02617e-10 1.10981e-28 3464.45
2.3412e-27 1.73253e-32 3.89168e-11 1.21324e-25 3477.59
3.01747e-27 3.62315e-32 4.01144e-11 1.64291e-24 3490.75
3.89644e-27 7.31848e-32 4.13446e-11 2.18479e-23 3503.93
5.0418e-27 1.47882e-31 4.26092e-11 2.85698e-22 3517.15
6.53801e-27 2.9903e-31 4.39097e-11 3.67846e-21 3530.42
8.4977e-27 6.05297e-31 4.52478e-11 4.66931e-20 3543.72
1.10715e-26 1.22695e-30 4.66253e-11 5.85087e-19 3557.08
1.44616e-26 2.49132e-30 4.80441e-11 7.24596e-18 3570.5
1.89402e-26 5.06911e-30 4.95062e-11 8.88003e-17 3583.99
2.48754e-26 1.03391e-29 5.10137e-11 1.07819e-15 3597.55
3.2767e-26 2.11462e-29 5.25691e-11 1.29854e-14 3611.2
4.3296e-26 4.33849e-29 5.41751e-11 1.55309e-13 3624.93
5.73982e-26 8.93279e-29 5.58386e-11 1.84669e-12 3638.76
7.64131e-26 1.84775e-28 5.76043e-11 2.18382e-11 3652.69
3.45697e-31 1.34491e-34 3.94775e-09 3.94775e-09 3666.73
1.90839e-31 1.37278e-34 4.32327e-09 4.32327e-09 3680.89
2.10379e-31 2.80178e-34 4.73446e-09 4.73446e-09 3695.18
1.92825e-26 1.14244e-28 5.18492e-09 5.18492e-09 3709.61
4.21182e-28 1.93232e-30 5.67866e-09 5.67866e-09 3724.18
9.43817e-26 1.6258e-27 6.22014e-09 6.22014e-09 3738.9
1.07541e-26 2.18146e-28 6.81433e-09 6.81433e-09 3753.79
1.84355e-23 8.02066e-25 7.46678e-09 7.46678e-09 3768.84
3.88975e-23 2.6739e-24 8.18368e-09 8.18368e-09 3784.08
2.24141e-23 2.43873e-24 8.97195e-09 8.97195e-09 3799.51
5.96262e-21 1.17265e-21 9.83933e-09 9.83933e-09 3815.15
6.5041e-20 1.94409e-20 1.07945e-08 1.07945e-08 3830.99
7.29024e-19 3.45875e-19 1.18472e-08 1.18472e-08 3847.06
1.37639e-19 9.56324e-20 1.30082e-08 1.30082e-08 3863.36
1.49177e-17 1.52218e-17 1.42899e-08 1.42899e-08 3879.9
3.54283e-16 5.01031e-16 1.57058e-08 1.57058e-08 3896.7
5.9925e-17 1.42511e-16 1.72716e-08 1.72716e-08 3913.76
1.43245e-15 4.23862e-15 1.90044e-08 1.90044e-08 3931.1
3.02932e-14 9.41934e-14 2.09239e-08 2.09235e-08 3948.72
4.97817e-14 1.96549e-13 2.30517e-08 2.30512e-08 3966.64
9.05949e-14 4.54977e-13 2.54125e-08 2.54119e-08 3984.87
1.93206e-13 1.23644e-12 2.80339e-08 2.80332e-08 4003.41
3.46455e-13 2.83049e-12 3.09464e-08 3.09465e-08 4022.28
6.13951e-13 6.41528e-12 3.41843e-08 3.41872e-08 4041.48
1.14389e-12 1.53159e-11 3.77847e-08 3.77958e-08 4061.03
2.00738e-12 3.39438e-11 4.17885e-08 4.18188e-08 4080.91
3.57078e-12 6.77473e-11 4.6241e-08 4.63078e-08 4101.15
1.33075e-11 1.44292e-10 5.11812e-08 5.13327e-08 4121.75
2.111e-11 1.90897e-10 5.67082e-08 5.69143e-08 4142.69
3.37658e-11 2.28025e-10 6.28759e-08 6.31324e-08 4164
5.43277e-11 2.72715e-10 6.97479e-08 7.00708e-08 4185.65
8.79556e-11 3.26532e-10 7.74019e-08 7.7814e-08 4207.65
1.29821e-10 3.91377e-10 8.59285e-08 8.64492e-08 4229.98
1.75928e-10 4.69535e-10 9.54262e-08 9.60717e-08 4252.64
2.00498e-10 5.63792e-10 1.06011e-07 1.06776e-07 4275.61
2.286e-10 6.77334e-10 1.17783e-07 1.18689e-07 4298.87
2.60715e-10 8.1401e-10 1.3086e-07 1.31935e-07 4322.41
2.9738e-10 9.7837e-10 1.45371e-07 1.46647e-07 4346.2
3.39186e-10 1.17577e-09 1.61451e-07 1.62965e-07 4370.22
